scanner,image,hits,misses,detection_hit_ratio,tp_labels,fp_labels,tp_detected,fp_detected,fn_missed,unlabeled_predicted,predicted_total
clair,docker.io+debian@sha256_81e88820a7759038ffa61cff59dfcc12d3772c3a2e75b7cfe963c952da2ad264,0,75,0.0,75,1,0,0,75,0,0
clair,docker.io+elastic+kibana@sha256_b9e3e52f61e0a347e38eabe80ba0859f859023bc0cc8836410320aa7eb5d3e02,0,8,0.0,8,10,0,0,8,0,0
clair,docker.io+ghost@sha256_42137b9bd1faf4cdea5933279c48a912d010ef614551aeb0e44308600aa3e69f,44,20,0.6875,64,22,44,0,20,89,133
clair,docker.io+jenkins+jenkins@sha256_6fd5699ab182b5d23d0e3936de6047edc30955a3a92e01c392d5a2fd583efac0,41,5,0.8913043478260869,46,22,41,20,5,178,233
clair,docker.io+neo4j@sha256_fcfcbb026e0e538bf66f5fe5c4b2db3dd4931c3aae07f13a5a8c10e979596256,27,5,0.84375,32,7,27,6,5,98,131
clair,docker.io+oraclelinux@sha256_a06327c0f1d18d753f2a60bb17864c84a850bb6dcbcf5946dd1a8123f6e75495,0,1,0.0,1,0,0,0,1,0,0
clair,docker.io+python@sha256_5e96e03a493a54904aa8be573fc0414431afb4f47ac58fbffd03b2a725005364,0,177,0.0,177,6,0,0,177,0,0
clair,docker.io+rockylinux@sha256_72afc2e1a20c9ddf56a81c51148ebcbe927c0a879849efe813bee77d69df1dd8,0,212,0.0,212,14,0,0,212,0,0
clair,docker.io+sonatype+nexus3@sha256_e8fea6b4279f2b5b24b36170459cb7aa3d6afe999f9d3e3713541be28bae8ec4,0,284,0.0,284,25,0,0,284,0,0
clair,docker.io+ubuntu@sha256_09f035f46361d193ded647342903b413d57d05cc06acff8285f9dda9f2d269d5,0,1,0.0,1,0,0,0,1,0,0
clair,docker.io+ubuntu@sha256_9d42d0e3e57bc067d10a75ee33bdd1a5298e95e5fc3c5d1fce98b455cb879249,0,13,0.0,13,0,0,0,13,0,0
clair,registry.access.redhat.com+ubi8@sha256_68fecea0d255ee253acbf0c860eaebb7017ef5ef007c25bee9eeffd29ce85b29,0,121,0.0,121,15,0,0,121,0,0
